english,german1
#vocab1,#vocab1
company,Unternehmen
profile,Porträt,Beschreibung,Profil
apprentice,Auszubildende/r,Lehrling
IT administrator,IT-Kaufmann/-frau
trainee,Auszubildende/r,Praktikant/in
component,Bauteil,Bauelement
head office,Zentrale,Hauptsitz
chairman,Vorsitzende/r
board,Aufsichtsrat
(general) partner,Gesellschafter/in,Teilhaber/in
vocational training,Berufsausbildung
apprenticeship,Lehre,Ausbildung
employee,Angestellte/r,Beschäftigte/r
(room) layout,Raumaufteilung,Plan
subsidiary,Niederlassung,Tochterfirma
training company,Ausbildungsbetrieb
premises,Gelände,Räumlichkeiten
legal department,Rechtsabteilung
Human Resources,Personalabteilung
Research & Development,Forschung & Entwicklung
support,Hilfe,Unterstützung,Betreuung,Kundendienst,Support
quality assurance,Qualitätssicherung
customer service,Kundendienst
reception,Empfang,Rezeption
to recruit,einstellen
to interview sb,mit jmd ein Vorstellungsgespräch führen
benefits,Zusatzleistungen,Sozialleistungen
CEO(Chief Executive Officer),Vorstandsvorsitzende/r,Geschäftsführer/in
software engineering,Softwareentwicklung
billing,Abrechnung,Rechnungsstellung
organization chart,Organigramm
job title,Stellenbezeichnung
supervisor,Ausbildungsleiter/in,Abteilungsleiter/in,Vorgesetzte/r
colleague,Kollege/in
personnel,Personal
personnel file,Personalakte
job description,Stellenbeschreibung
#vocab2,#vocab2
